Name,Sex,Count,MaleCount,FemaleCount
Abri,F,6,0,6
Abria,F,121,0,121
Abrian,M,41,41,0
Abriana,F,1058,0,1058
Abrianna,F,2506,0,2506
Abrie,F,22,0,22
Abriel,U,53,38,15
Abriella,F,610,0,610
Abrielle,F,2363,0,2363
Abril,F,6320,0,6320
Abrina,F,5,0,5
Abrish,F,23,0,23
Abron,M,5,5,0
Absidy,F,6,0,6
Abu,M,29,29,0
Abubakar,M,138,138,0
Abubakr,M,78,78,0
Abundio,M,66,66,0
Aby,F,10,0,10
Abyan,U,21,16,5
Abygail,F,1296,0,1296
Abygale,F,6,0,6
Acacia,F,1453,0,1453
Acadia,F,71,0,71
Access,M,6,6,0
Ace,M,6881,6881,0
Acelin,M,7,7,0
Acelyn,F,48,0,48
Acelynn,F,159,0,159
Acen,M,50,50,0
Acencion,M,5,5,0
Aceson,M,42,42,0
Aceyn,M,10,10,0
Achille,M,34,34,0
Achilles,M,1255,1255,0
Acie,M,234,229,5
Ackeem,M,15,15,0
Ackley,M,5,5,0
Acxel,M,5,5,0
Acy,M,5,5,0
Ada,F,62482,0,62482
Adabella,F,32,0,32
Adabelle,F,25,0,25
Adael,M,62,62,0
Adaeze,F,16,0,16
Adah,F,405,0,405
Adahli,F,18,0,18
Adahlia,F,5,0,5
Adaia,F,5,0,5
Adaiah,F,10,0,10
Adain,M,19,19,0
Adair,M,509,499,10
Adal,M,88,88,0
Adalae,F,6,0,6
Adalaide,F,6,0,6
Adalay,F,5,0,5
Adalberto,M,3153,3153,0
Adalee,F,1175,0,1175
Adaleen,F,10,0,10
Adaleigh,F,455,0,455
Adalena,F,64,0,64
Adalene,F,49,0,49
Adaley,F,6,0,6
Adalhi,F,5,0,5
Adali,F,131,0,131
Adalia,F,520,0,520
Adalid,M,5,5,0
Adalie,F,573,0,573
Adalin,F,16,0,16
Adalina,F,512,0,512
Adalind,F,143,0,143
Adaline,F,5294,0,5294
Adaliz,F,27,0,27
Adaly,F,207,0,207
Adalyn,F,16891,0,16891
Adalyna,F,7,0,7
Adalyne,F,97,0,97
Adalynn,F,15979,0,15979
Adalynne,F,231,0,231
Adam,M,544933,544311,622
Adama,F,205,71,134
Adamari,F,1146,0,1146
Adamaris,F,2127,0,2127
Adamariz,F,27,0,27
Adamary,F,276,0,276
Adamarys,F,17,0,17
Adams,M,55,55,0
Adan,M,24267,24267,0
Adanelly,F,5,0,5
Adanely,F,8,0,8
Adanna,F,54,0,54
Adanya,F,5,0,5
Adara,F,452,0,452
Adarian,M,6,6,0
Adarius,M,402,402,0
Adarsh,M,135,135,0
Adaya,F,129,0,129
Adayah,F,6,0,6
Adda,F,53,0,53
Addalie,F,5,0,5
Addaline,F,10,0,10
Addalyn,F,1296,0,1296
Addalynn,F,743,0,743
Addam,M,27,27,0
Addeline,F,26,0,26
Addelyn,F,1053,0,1053
Addelynn,F,139,0,139
Addi,F,5,0,5
Addie,F,26285,26,26259
Addilyn,F,4924,0,4924
Addilynn,F,1993,0,1993
Addis,F,10,5,5
Addisen,F,327,0,327
Addison,F,123641,8205,115436
Addisson,F,6,0,6
Addisyn,F,7477,0,7477
Addy,F,100,0,100
Addysen,F,281,0,281
Addyson,F,13959,0,13959
Ade,M,5,5,0
Adedamola,M,12,12,0
Adeeb,M,5,5,0
Adeel,M,11,11,0
Adeena,F,16,0,16
Adel,M,438,356,82
Adela,F,8448,0,8448
Adelai,F,5,0,5
Adelaida,F,1495,0,1495
Adelaide,F,18322,0,18322
Adelaido,M,36,36,0
Adelaine,F,20,0,20
Adelard,M,177,177,0
Adelayda,F,5,0,5
Adelbert,M,582,582,0
Adele,F,29970,0,29970
Adeleine,F,24,0,24
Adelene,F,107,0,107
Adelfa,F,283,0,283
Adelfina,F,5,0,5
Adelia,F,823,0,823
Adelie,F,67,0,67
Adelin,F,78,0,78
Adelina,F,8092,0,8092
Adeline,F,45774,0,45774
Adelino,M,16,16,0
Adelisa,F,6,0,6
Adelita,F,885,0,885
Adell,F,3403,150,3253
Adella,F,1522,0,1522
Adelle,F,1578,0,1578
Adelmira,F,20,0,20
Adely,F,6,0,6
Adelyn,F,13190,0,13190
Adelyne,F,157,0,157
Adelynn,F,7427,0,7427
Adelynne,F,98,0,98
Adem,M,267,267,0
Aden,M,17382,17366,16
Adena,F,194,0,194
Adenike,F,6,0,6
Adeola,F,10,0,10
Aderinsola,F,5,0,5
Aderonke,F,6,0,6
Adessa,F,5,0,5
Adesuwa,F,5,0,5
Adetokunbo,M,5,5,0
Adger,M,26,26,0
Adgie,F,5,0,5
Adham,M,193,193,0
Adhara,F,5,0,5
Adhemar,M,13,13,0
Adhira,F,23,0,23
Adhrit,M,64,64,0
Adhvik,M,75,75,0
Adhya,F,49,0,49
Adi,F,303,90,213
Adia,F,1002,0,1002
Adian,M,260,260,0
Adiana,F,6,0,6
Adianez,F,5,0,5
Adianna,F,6,0,6
Adib,M,11,11,0
Adiba,F,27,0,27
Adiel,M,917,917,0
Adien,M,35,35,0
Adil,M,398,398,0
Adilee,F,11,0,11
Adilene,F,4308,0,4308
Adileni,F,5,0,5
Adilenne,F,6,0,6
Adileny,F,7,0,7
Adilyn,F,1041,0,1041
Adilynn,F,1372,0,1372
Adin,M,1392,1392,0
Adina,F,3503,0,3503
Adir,M,16,16,0
Adira,F,180,0,180
Adison,F,1994,34,1960
Adisyn,F,293,0,293
Adit,M,22,22,0
Adithi,F,38,0,38
Adithya,M,112,112,0
Aditi,F,2045,0,2045
Aditri,F,6,0,6
Aditya,M,3620,3620,0
Adja,F,5,0,5
Adlai,M,6,6,0
Adlee,F,107,0,107
Adleigh,F,314,0,314
Adler,M,895,885,10
Adley,F,1944,11,1933
Adline,F,115,0,115
Admir,M,16,16,0
Adna,F,84,0,84
Adnan,M,1031,1031,0
Adolf,M,317,317,0
Adolfo,M,12980,12980,0
Adolph,M,12372,12372,0
Adolphe,M,5,5,0
Adolphus,M,1411,1411,0
Adon,M,76,76,0
Adonai,M,215,210,5
Adonay,M,52,52,0
Adonijah,M,10,10,0
Adonis,M,6602,6602,0
Adonna,F,5,0,5
Adonnis,M,15,15,0
Adonys,M,21,21,0
Adora,F,209,0,209
Adore,F,41,0,41
Adrain,M,1443,1427,16
Adrea,F,17,0,17
Adrean,M,111,105,6
Adreana,F,147,0,147
Adreanna,F,359,0,359
Adreena,F,15,0,15
Adrena,F,10,0,10
Adria,F,2354,0,2354
Adrian,M,238171,226918,11253
Adriana,F,85563,159,85404
