Name,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Aastha,61,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aavya,84,0,0,0,0,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7,0,5,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0
Aayan,951,0,0,0,0,174,0,0,0,0,29,26,0,0,79,0,0,0,0,0,0,26,19,6,0,0,0,0,0,0,0,112,0,230,12,0,0,0,0,53,0,0,0,0,138,0,0,47,0,0,0,0
Aayansh,37,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Aayat,40,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Aayden,762,19,0,16,0,146,5,5,0,0,87,36,0,0,32,11,0,0,0,13,0,11,0,14,0,0,0,0,0,0,0,24,0,53,30,0,22,5,0,11,0,5,0,15,168,0,0,29,5,0,0,0
Aayla,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aayush,567,0,0,0,0,190,0,0,0,0,5,11,0,0,59,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,133,0,25,5,0,10,0,0,10,0,0,0,0,84,0,0,18,0,0,0,0
Aayushi,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab,95,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
Abagail,3935,43,0,33,64,249,69,0,0,0,196,118,0,0,198,196,44,38,142,62,0,41,23,238,43,18,144,0,0,5,5,15,0,200,155,0,335,73,11,289,0,46,0,161,296,39,0,81,55,98,112,0
Abagayle,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Abaigeal,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abanoub,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abayomi,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abba,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbagail,65,0,0,0,5,7,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,26,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Abbas,505,0,0,5,0,81,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,6,0,84,0,0,5,0,0,5,0,0,0,0,66,0,0,23,0,0,0,0
Abbe,370,0,0,0,0,18,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,266,0,0,6,0,0,46,0,0,0,0,5,0,0,0,0,0,0,0
Abbey,14632,304,0,182,121,892,256,100,0,0,554,497,0,35,906,474,368,209,184,257,15,125,294,751,504,134,499,27,160,10,31,157,10,738,493,32,1219,223,53,856,0,100,20,416,1071,325,0,284,168,39,539,0
Abbi,296,5,0,0,11,0,0,0,0,0,0,8,0,0,29,25,11,0,0,18,0,0,0,0,5,0,32,0,0,0,0,0,0,0,0,0,44,0,0,21,0,0,0,5,70,12,0,0,0,0,0,0
Abbie,13280,686,0,155,239,840,122,12,0,0,447,709,12,61,551,350,384,150,200,494,88,31,167,486,390,306,422,0,234,23,16,54,0,599,435,17,695,295,55,561,0,180,61,451,1266,385,0,168,138,28,317,0
Abbiegail,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Abbigail,9924,233,0,192,213,598,140,7,0,0,450,434,0,66,419,434,210,122,317,198,38,42,40,471,273,123,418,19,90,10,0,34,5,279,302,12,696,249,156,315,5,193,19,386,707,186,0,180,229,133,281,0
Abbigale,714,0,0,0,0,102,0,0,0,0,58,36,0,0,40,30,5,6,21,0,0,0,0,59,10,5,61,0,0,0,0,5,0,6,10,0,84,10,5,5,0,6,0,28,96,5,0,5,10,0,6,0
Abbigayle,212,5,0,0,0,12,0,0,0,0,10,5,0,0,11,17,5,0,10,0,0,0,0,18,5,0,5,0,0,0,0,0,0,0,0,0,43,11,0,0,0,0,0,5,38,0,0,0,12,0,0,0
Abbott,106,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,17,5,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
